symbol,company,weight,sector,shares_held
MAA,Mid-America Apartment Communities Inc.,5.560957062600221e-4,Real Estate,1270822
MLM,Martin Marietta Materials Inc.,5.551243862847417e-4,Materials,687642
DGX,Quest Diagnostics Incorporated,5.530015013903145e-4,Health Care,1489142
LEN,Lennar Corporation Class A,5.495367930248812e-4,Consumer Discretionary,3214990
K,Kellogg Company,5.4631241125127e-4,Consumer Staples,2788719
CE,Celanese Corporation,5.42437144958141e-4,Materials,1435324
LNC,Lincoln National Corporation,5.397034299761661e-4,Financials,2275317
HST,Host Hotels & Resorts Inc.,5.384216881531156e-4,Real Estate,8263442
MKTX,MarketAxess Holdings Inc.,5.372601096259763e-4,Financials,422366
AAL,American Airlines Group Inc.,5.34276054444187e-4,Industrials,4508239
XRAY,DENTSPLY SIRONA Inc.,5.338254420845208e-4,Health Care,2620796
AKAM,Akamai Technologies Inc.,5.333548025088695e-4,Information Technology,1806432
TSCO,Tractor Supply Company,5.302105295991988e-4,Consumer Discretionary,1337097
CAG,Conagra Brands Inc.,5.300703390873027e-4,Consumer Staples,5376137
UDR,UDR Inc.,5.266556987618325e-4,Real Estate,3156645
TTWO,Take-Two Interactive Software Inc.,5.239019565638725e-4,Communication Services,1253052
SJM,J.M. Smucker Company,5.215387450776233e-4,Consumer Staples,1269385
BHGE,Baker Hughes a GE Company Class A,5.182242408320787e-4,Energy,5722475
FOXA,Fox Corporation Class A,5.120758855246337e-4,Communication Services,3932819
HOLX,Hologic Inc.,5.120158038766782e-4,Health Care,2996710
WYNN,Wynn Resorts Limited,5.057773260972999e-4,Consumer Discretionary,1078963
CTXS,Citrix Systems Inc.,5.047759652980419e-4,Information Technology,1411233
ATO,Atmos Energy Corporation,5.003399369573283e-4,Utilities,1303265
EXPD,Expeditors International of Washington Inc.,4.989380318383668e-4,Industrials,1919923
CBOE,Cboe Global Markets Inc,4.977263852712644e-4,Financials,1227617
HAS,Hasbro Inc.,4.972357184796278e-4,Consumer Discretionary,1287842
VAR,Varian Medical Systems Inc.,4.937509828982095e-4,Health Care,1018235
TXT,Textron Inc.,4.92689540450996e-4,Industrials,2614594
KSU,Kansas City Southern,4.88333620974223e-4,Industrials,1123607
FTNT,Fortinet Inc.,4.8811332159838614e-4,Information Technology,1618393
NDAQ,Nasdaq Inc.,4.850091031206859e-4,Financials,1299662
STX,Seagate Technology PLC,4.8144425867532685e-4,Information Technology,2875755
ABMD,ABIOMED Inc.,4.8035277540413546e-4,Health Care,503133
DVN,Devon Energy Corporation,4.7826994494167853e-4,Energy,4651077
LNT,Alliant Energy Corp,4.7541606666379275e-4,Utilities,2634803
DRE,Duke Realty Corporation,4.729727463136029e-4,Real Estate,4009187
GWW,W.W. Grainger Inc.,4.7199141273032995e-4,Industrials,500551
CMA,Comerica Incorporated,4.6595320711080324e-4,Financials,1790010
CTL,CenturyLink Inc.,4.654825675351519e-4,Communication Services,10748451
MAS,Masco Corporation,4.627388389451846e-4,Industrials,3383271
REG,Regency Centers Corporation,4.5994504231525434e-4,Real Estate,1868680
MRO,Marathon Oil Corporation,4.585431371962929e-4,Energy,9362670
AAP,Advance Auto Parts Inc.,4.554389187185927e-4,Consumer Discretionary,812173
CHRW,C.H. Robinson Worldwide Inc.,4.546478436871787e-4,Industrials,1529641
VNO,Vornado Realty Trust,4.545376939992603e-4,Real Estate,1934695
WAB,Westinghouse Air Brake Technologies Corporation,4.5384675504777223e-4,Industrials,1812226
SIVB,SVB Financial Group,4.5134335304962685e-4,Financials,579508
AES,AES Corporation,4.497712165947915e-4,Utilities,7391285
UHS,Universal Health Services Inc. Class B,4.460461544215512e-4,Health Care,947264
